stock_code,product_name,product_family
20674,GREEN SPOTTY BOWL,Kitchen
20675,BLUE SPOTTY BOWL,Kitchen
20676,RED SPOTTY BOWL,Kitchen
20677,PINK SPOTTY BOWL,Kitchen
20679,EDWARDIAN PARASOL RED,Other
20680,PINK FLOWERS CHILDS UMBRELLA,Other
20681,PINK SPOTTY CHILDS UMBRELLA,Other
20682,RED SPOTTY CHILDS UMBRELLA,Other
20684,STRAWBERRY DREAM CHILDS UMBRELLA,Other
20685,DOOR MAT RED SPOT,Other
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,Other
20688,BEAUTY SPEED EXPRESSO CUPS,Other
20689,RETRO SISTERS EXPRESSO CUPS,Other
20692,FLORAL ELEPHANT SOFT TOY,Other
20693,FLORAL DINOSAUR GREEN,Other
20694,FLORAL PINK MONSTER,Other
20695,FLORAL BLUE MONSTER,Other
20696,FLORAL SOFT CAR TOY,Other
20697,LITTLE GREEN MONSTER SOFT TOY,Other
20698,LITTLE PINK MONSTER SOFT TOY,Other
20699,MOUSEY LONG LEGS SOFT TOY,Other
20700,GREEN CAT FLORAL CUSHION COVER,Decoration
20701,PINK CAT FLORAL CUSHION COVER,Decoration
20702,PINK PADDED MOBILE,Other
20703,BLUE PADDED SOFT MOBILE,Other
20704,MR ROBOT SOFT TOY,Other
20705,MRS ROBOT SOFT TOY,Other
20707,CRAZY DAISY HEART DECORATION,Decoration
20711,JUMBO BAG TOYS,Storage
20712,JUMBO BAG WOODLAND ANIMALS,Storage
20713,JUMBO BAG OWLS,Storage
20714,POSY SHOPPER BAG,Storage
20715,LITTLE FLOWER SHOPPER BAG,Storage
20716,PARTY FOOD SHOPPER BAG,Storage
20717,STRAWBERRY SHOPPER BAG,Storage
20718,RED SPOTTY SHOPPER BAG,Storage
20719,WOODLAND CHARLOTTE BAG,Storage
20723,STRAWBERRY CHARLOTTE BAG,Storage
20724,RED SPOTTY CHARLOTTE BAG,Storage
20725,LUNCH BAG RED SPOTTY,Storage
20726,LUNCH BAG WOODLAND,Storage
20727,LUNCH BAG  BLACK SKULL.,Storage
20728,LUNCH BAG CARS BLUE,Storage
20729,RED SPOTTY CANDY BAG,Storage
20730,STRAWBERRY CANDY BAG,Storage
20731,POSY CANDY BAG,Storage
20733,GOLD MINI TAPE MEASURE,Other
20734,SILVER MINI TAPE MEASURE,Other
20735,BLACK MINI TAPE MEASURE,Other
20736,PINK MINI TAPE MEASURE,Other
20738,GREEN MINI TAPE MEASURE,Other
20747,PICCADILLY TEA SET,Kitchen
20748,KENSINGTON COFFEE SET,Other
20749,ASSORTED COLOUR MINI CASES,Other
20750,RED/WHITE DOT MINI CASES,Other
20751,FUNKY WASHING UP GLOVES ASSORTED,Other
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,Other
20753,RETRO PINK SPOT WASHING UP GLOVES,Other
20754,RETRO RED SPOTTY WASHING UP GLOVES,Other
20755,BLUE PAISLEY POCKET BOOK,Other
20756,GREEN FERN POCKET BOOK,Other
20757,RED DAISY POCKET BOOK,Other
20758,ABSTRACT CIRCLES POCKET BOOK,Other
20759,CHRYSANTHEMUM POCKET BOOK,Other
20760,GARDEN PATH POCKET BOOK,Other
20761,BLUE PAISLEY SKETCHBOOK,Other
20762,GREEN FERN SKETCHBOOK,Other
20763,DAISY SKETCHBOOK,Other
20764,ABSTRACT CIRCLES SKETCHBOOK,Other
20765,CHRYSANTHEMUM SKETCHBOOK,Other
20766,GARDEN PATH SKETCHBOOK,Other
20767,BLUE PAISLEY JOURNAL,Other
20768,GREEN FERN JOURNAL,Other
20769,DAISY JOURNAL,Other
20770,ABSTRACT CIRCLE JOURNAL,Other
20771,CHRYSANTHEMUM  JOURNAL,Other
20772,GARDEN PATH JOURNAL,Other
20773,BLUE PAISLEY NOTEBOOK,Other
20774,GREEN FERN NOTEBOOK,Other
20775,DAISY NOTEBOOK,Other
20776,ABSTRACT CIRCLES NOTEBOOK,Other
20777,CHRYSANTHEMUM NOTEBOOK,Other
20778,GARDEN PATH NOTEBOOK,Other
20780,BLACK EAR MUFF HEADPHONES,Other
20781,GOLD EAR MUFF HEADPHONES,Other
20782,CAMOUFLAGE EAR MUFF HEADPHONES,Other
20783,HEART EAR MUFF HEADPHONES,Decoration
20784,RED RETRO BAR STOOL,Other
20785,FUSCHIA RETRO BAR STOOL,Other
20786,BLACK RETRO BAR STOOL,Other
20787,BLUE RETRO BAR STOOL,Other
20791,BLUE TILED SET OF 3 DRAWERS,Other
20793,BLUE TILED TRAY,Other
20794,BLUE  TILE HOOK,Other
20795,LARGE BLUE PROVENCAL CERAMIC BALL,Other
20796,SMALL BLUE PROVENCAL CERAMIC BALL,Other
20798,CLEAR MILKSHAKE GLASS,Other
20799,PINK MILKSHAKE GLASS,Other
20800,LARGE GLASS SUNDAE DISH CLEAR,Other
20801,LARGE PINK GLASS SUNDAE DISH,Other
20802,SMALL GLASS SUNDAE DISH CLEAR,Other
20803,SMALL PINK GLASS SUNDAE DISH,Other
20804,GLASS CHICKEN BUTTER DISH,Other
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,Decoration
20814,SILVER FINCH DECORATION,Decoration
20816,GOLD FLOWER CUSHION COVER,Decoration
20818,GOLD TEDDY BEAR,Other
20819,SILVER TEDDY BEAR,Other
20820,SILVER LOOKING MIRROR,Decoration
20821,GOLDIE LOOKING MIRROR,Decoration
20822,SILVER WINE GOBLET,Other
20823,GOLD WINE GOBLET,Other
20825,GOLD WINE GLASS,Other
20828,GLITTER BUTTERFLY CLIPS,Other
20829,GLITTER HANGING BUTTERFLY STRING,Other
20830,SILVER PHOTO FRAME,Decoration
20831,GOLD PHOTO FRAME,Decoration
20832,RED FLOCK LOVE HEART PHOTO FRAME,Decoration
20833,SHAKER THROW  QUILTED,Other
20835,FRENCH LATTICE CUSHION COVER,Decoration
20836,FRENCH PAISLEY CUSHION COVER,Decoration
20837,FRENCH FLORAL CUSHION COVER,Decoration
20838,FRENCH LATTICE CUSHION COVER,Decoration
20839,FRENCH PAISLEY CUSHION COVER,Decoration
20840,FRENCH FLORAL CUSHION COVER,Decoration
20845,ZINC HEART LATTICE 2 WALL PLANTER,Decoration
20846,ZINC HEART LATTICE T-LIGHT HOLDER,Lighting
20847,ZINC HEART LATTICE CHARGER LARGE,Decoration
20848,ZINC HEART LATTICE CHARGER SMALL,Decoration
20849,ZINC HEART LATTICE DOUBLE PLANTER,Decoration
20850,ZINC HEART LATTICE PLANTER BOWL,Kitchen
20851,ZINC HEART LATTICE TRAY OVAL,Decoration
20854,BLUE PATCH PURSE PINK HEART,Decoration
20855,PINK PATCH PURSE BLUE HEART,Decoration
20856,DENIM PATCH PURSE PINK BUTTERFLY,Other
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,Other
20860,GOLD COSMETICS BAG WITH BUTTERFLY,Storage
20861,GOLD COSMETIC BAG PINK STAR,Storage
20862,PINK PATCH PENCIL CASE BLUE HEART,Decoration
20863,BLUE PATCH PENCIL CASE PINK HEART,Decoration
20864,DENIM PATCH PENCIL CASE BUTTERFLY,Other
20865,PATCHWORK PENCIL CASE BUTTERFLY,Other
20866,BLUE ROSE FABRIC MIRROR,Decoration
20867,PINK ROSE FABRIC MIRROR,Decoration
20868,SILVER FABRIC MIRROR,Decoration
20869,GOLD FABRIC MIRROR,Decoration
20871,OPULENT VELVET SET/3 CANDLES,Lighting
20886,BOX OF 9 PEBBLE CANDLES,Lighting
20888,SET 3 JARDIN DE FEMME SCENT CANDLES,Lighting
20889,JARDIN DE FEMME SCENTED CANDLE,Lighting
20890,SMALL GLASS ROSE SCENTED CANDLE,Lighting
20891,LARGE GLASS ROSE SCENTED CANDLE,Lighting
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,Lighting
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,Lighting
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,Lighting
20895,VINTAGE NOTEBOOK FRENCH LETTER,Other
20896,VINTAGE NOTEBOOK PINK FLOWER,Other
20897,VINTAGE NOTEBOOK PARIS DAYS,Other
20898,VINTAGE NOTEBOOK TRAVELOGUE,Other
20899,VINTAGE NOTEBOOK RED ROSE,Other
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,Storage
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,Storage
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,Storage
20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,Storage
20906,VINTAGE NOTEBOOK BEAUTY GIRL,Other
20910,VINTAGE PHOTO ALBUM PARIS DAYS,Other
20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,Kitchen
20914,SET/5 RED SPOTTY LID GLASS BOWLS,Kitchen
20931,BLUE POT PLANT CANDLE,Lighting
20932,PINK POT PLANT CANDLE,Lighting
20933,YELLOW POT PLANT CANDLE,Lighting
20934,SET/3 POT PLANT CANDLES,Lighting
20935,ROUND CACTUS CANDLE,Lighting
20936,FORKED CACTUS CANDLE,Lighting
20941,FROG CANDLE,Lighting
20943,SET/6 GINGERBREAD STAR T-LIGHTS,Lighting
20952,PORCELAIN CHERUB BELL SMALL,Other
20953,PORCELAIN CHERUB BELL LARGE,Other
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,Lighting
20957,PORCELAIN HANGING BELL SMALL,Other
20958,PORCELAIN HANGING BELL LARGE,Other
20960,WATERMELON BATH SPONGE,Other
20961,STRAWBERRY BATH SPONGE,Other
20963,APPLE BATH SPONGE,Other
20964,POLYESTER FILLER PAD 60x40cm,Other
20966,SANDWICH BATH SPONGE,Other
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,Storage
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,Storage
20969,RED FLORAL FELTCRAFT SHOULDER BAG,Storage
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,Storage
20971,PINK BLUE FELT CRAFT TRINKET BOX,Storage
20972,PINK CREAM FELT CRAFT TRINKET BOX,Storage
20973,12 PENCIL SMALL TUBE WOODLAND,Other
20974,12 PENCILS SMALL TUBE SKULL,Other
20975,12 PENCILS SMALL TUBE RED SPOTTY,Other
20976,12 PENCILS SMALL TUBE POSY,Other
20977,36 PENCILS TUBE WOODLAND,Other
20978,36 PENCILS TUBE SKULLS,Other
20979,36 PENCILS TUBE RED SPOTTY,Other
20980,36 PENCILS TUBE POSY,Other
20981,12 PENCILS TALL TUBE WOODLAND,Other
20982,12 PENCILS TALL TUBE SKULLS,Other
20983,12 PENCILS TALL TUBE RED SPOTTY,Other
20984,12 PENCILS TALL TUBE POSY,Other
20985,HEART CALCULATOR,Decoration
20986,BLUE CALCULATOR RULER,Other
20988,TRELLIS FLOWER CHOPSTICKS SET/5,Other
20989,URBAN CHIC CHOPSTICKS SET/5,Other
20990,SPRING FLOWER CHOPSTICKS SET/5,Other
20991,JAZZ HEARTS MAGNETIC MEMO PAD,Decoration
20992,JAZZ HEARTS PURSE NOTEBOOK,Decoration
20993,JAZZ HEARTS MEMO PAD,Decoration
20994,JAZZ HEARTS SPIRAL NOTEPAD,Decoration
20996,JAZZ HEARTS ADDRESS BOOK,Decoration
20997,ROSE DU SUD CUSHION COVER,Decoration
20998,ROSE DU SUD OVEN GLOVE,Other
21000,ROSE DU SUD COSMETICS BAG,Storage
21001,ROSE DU SUD WASHBAG,Other
21002,ROSE DU SUD DRAWSTRING BAG,Storage
21003,ROSE DU SUD CUSHION COVER,Decoration
21004,ROSE DU SUD CHILDS APRON,Other
21007,ETCHED GLASS DROPLET DECORATION,Decoration
21008,ETCHED GLASS HEART TREE DECORATION,Decoration
21009,ETCHED GLASS STAR TREE DECORATION,Decoration
21010,ETCHED GLASS BIRD TREE DECORATION,Decoration
21011,GLITTER SNOW PEAR TREE DECORATION,Decoration
21012,ANTIQUE ALL GLASS CANDLESTICK,Other
21014,SWISS CHALET TREE DECORATION,Decoration
21016,LIGHT BIRD HOUSE TREE DECORATION,Decoration
21017,RED BIRD HOUSE TREE DECORATION,Decoration
21025,SPACE FROG,Other
21026,SPACE OWL,Other
21027,NINJA RABBIT PINK,Other
21028,NINJA RABBIT BLACK,Other
21030,SPACE CADET RED,Other
21031,SPACE CADET BLACK,Other
21032,SPACE CADET WHITE,Other
21033,JUMBO BAG CHARLIE AND LOLA TOYS,Storage
21034,REX CASH+CARRY JUMBO SHOPPER,Storage
21035,SET/2 RED SPOTTY TEA TOWELS,Kitchen
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,Kitchen
21039,RED SPOTTY SHOPPING BAG,Storage
21040,MODERN VINTAGE COTTON SHOPPING BAG,Storage
21041,RED SPOTTY OVEN GLOVE DOUBLE,Other
21042,RED SPOTTY APRON,Other
21043,APRON MODERN VINTAGE COTTON,Other
21051,RIBBONS PURSE,Other
21054,NURSE'S BAG SOFT TOY,Storage
21055,TOOL BOX SOFT TOY,Storage
21056,DOCTOR'S BAG SOFT TOY,Storage
21058,PARTY INVITES WOODLAND,Other
21059,PARTY INVITES DINOSAURS,Other
21060,PARTY INVITES BALLOON GIRL,Other
21061,PARTY INVITES FOOTBALL,Other
21062,PARTY INVITES SPACEMAN,Other
21063,PARTY INVITES JAZZ HEARTS,Decoration
21064,BOOM BOX SPEAKER BOYS,Storage
21065,BOOM BOX SPEAKER GIRLS,Storage
21066,VINTAGE RED MUG,Kitchen
21067,VINTAGE RED TEATIME MUG,Kitchen
21068,VINTAGE BILLBOARD LOVE/HATE MUG,Kitchen
21069,VINTAGE BILLBOARD TEA MUG,Kitchen
21070,VINTAGE BILLBOARD MUG,Kitchen
21071,VINTAGE BILLBOARD DRINK ME MUG,Kitchen
21076,SET/20 COLLAGE PAPER NAPKIN,Kitchen
21077,SET/20 WOODLAND PAPER NAPKINS,Kitchen
21078,SET/20 STRAWBERRY PAPER NAPKINS,Kitchen
21080,SET/20 RED SPOTTY PAPER NAPKINS,Kitchen
21081,SET/20 POSIES PAPER NAPKINS,Kitchen
21082,SET/20 FRUIT SALAD PAPER NAPKINS,Kitchen
21084,SET/6 COLLAGE PAPER CUPS,Other
21085,SET/6 WOODLAND PAPER CUPS,Other
21086,SET/6 RED SPOTTY PAPER CUPS,Other
21087,SET/6 POSIES PAPER CUPS,Other
21088,SET/6 FRUIT SALAD PAPER CUPS,Other
21089,SET/6 GREEN SPRING PAPER CUPS,Other
21090,SET/6 COLLAGE PAPER PLATES,Kitchen
21091,SET/6 WOODLAND PAPER PLATES,Kitchen
21092,SET/6 STRAWBERRY PAPER PLATES,Kitchen
21094,SET/6 RED SPOTTY PAPER PLATES,Kitchen
21095,SET/6 POSIES PAPER PLATES,Kitchen
21096,SET/6 FRUIT SALAD  PAPER PLATES,Kitchen
21097,SET/6 GREEN SPRING  PAPER PLATE,Kitchen
21098,CHRISTMAS TOILET ROLL,Other
21099,SET/6 STRAWBERRY PAPER CUPS,Other
21100,CHARLIE AND LOLA CHARLOTTE BAG,Storage
21102,"CANDLE IN JAR COLLAGE , VANILLA",Lighting
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,Other
21107,CREAM SLICE FLANNEL PINK SPOT,Other
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,Kitchen
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",Kitchen
21110,LARGE CAKE TOWEL PINK SPOTS,Kitchen
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",Other
21112,"SWISS ROLL TOWEL, PINK  SPOTS",Other
21114,LAVENDER SCENTED FABRIC HEART,Decoration
21115,ROSE CARAVAN DOORSTOP,Other
21116,OWL DOORSTOP,Other
21117,BLOND DOLL DOORSTOP,Other
21118,SHOPPING BAG DOORSTOP,Storage
21121,SET/10 RED SPOTTY PARTY CANDLES,Lighting
21122,SET/10 PINK SPOTTY PARTY CANDLES,Lighting
21123,SET/10 IVORY SPOTTY PARTY CANDLES,Lighting
21124,SET/10 BLUE SPOTTY PARTY CANDLES,Lighting
21125,SET 6 FOOTBALL CELEBRATION CANDLES,Lighting
21126,SET OF 6 GIRLS CELEBRATION CANDLES,Lighting
21127,COLOURFUL FISHING GNOME,Other
21128,GOLD FISHING GNOME,Other
21129,SILVER FISHING GNOME,Other
21130,COLOURFUL STANDING GNOME,Other
21131,GOLD STANDING GNOME,Other
21132,SILVER STANDING GNOME,Other
21133,PAINTED BIRD ASSORTED CHRISTMAS,Other
21134,VICTORIAN METAL POSTCARD CHRISTMAS,Other
21135,VICTORIAN  METAL POSTCARD SPRING,Other
21136,PAINTED METAL PEARS ASSORTED,Other
21137,BLACK RECORD COVER FRAME,Decoration
21143,ANTIQUE GLASS HEART DECORATION,Decoration
21144,PINK POODLE HANGING DECORATION,Decoration
21145,ANTIQUE GLASS PLACE SETTING,Other
21146,ANTIQUE GLASS RIDGED HANGING BALL,Other
21147,JINGLE BELLS TREE DECORATION,Decoration
21153,RED SPOTTY TABLECLOTH,Other
21154,RED SPOTTY OVEN GLOVE,Other
21155,RED SPOTTY PEG BAG,Storage
21156,RED SPOTTY CHILDS APRON,Other
21157,RED SPOTTY WASHBAG,Other
21158,MOODY GIRL DOOR HANGER,Other
21159,MOODY BOY  DOOR HANGER,Other
21160,KEEP OUT GIRLS DOOR HANGER,Other
21161,KEEP OUT BOYS DOOR HANGER,Other
21162,TOXIC AREA  DOOR HANGER,Other
21163,DO NOT TOUCH MY STUFF DOOR HANGER,Other
21164,HOME SWEET HOME METAL SIGN,Decoration
21165,BEWARE OF THE CAT METAL SIGN,Decoration
21166,COOK WITH WINE METAL SIGN,Decoration
21167,WHITE SAGE INCENSE,Other
21169,YOU'RE CONFUSING ME METAL SIGN,Decoration
21171,BATHROOM METAL SIGN,Decoration
21172,PARTY METAL SIGN,Decoration
21173,LOO ROLL  METAL SIGN,Decoration
21174,POTTERING IN THE SHED METAL SIGN,Decoration
