invoice_no,stock_code,description,quantity,invoice_date,unit_price_gbp,customer_id,country,market
493427,84499,BLACK FLOWER CANDLE PLATE,12,2010-01-04 10:43:00,0.85,13287,United Kingdom,UK
493427,84615,PINK ROUND BUTTERFLY MIRROR,2,2010-01-04 10:43:00,7.95,13287,United Kingdom,UK
493427,84686,BEACH HUT MIRROR,2,2010-01-04 10:43:00,4.25,13287,United Kingdom,UK
493428,20681,PINK SPOTTY CHILDS UMBRELLA,2,2010-01-04 11:15:00,3.25,16550,United Kingdom,UK
493428,20682,RED SPOTTY CHILDS UMBRELLA,2,2010-01-04 11:15:00,3.25,16550,United Kingdom,UK
493428,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,2,2010-01-04 11:15:00,3.25,16550,United Kingdom,UK
493428,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,3,2010-01-04 11:15:00,2.1,16550,United Kingdom,UK
493428,20754,RETRO RED SPOTTY WASHING UP GLOVES,3,2010-01-04 11:15:00,2.1,16550,United Kingdom,UK
493428,21411,GINGHAM HEART  DOORSTOP RED,2,2010-01-04 11:15:00,4.25,16550,United Kingdom,UK
493428,21558,SKULL LUNCHBOX WITH CUTLERY,1,2010-01-04 11:15:00,2.55,16550,United Kingdom,UK
493428,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,4,2010-01-04 11:15:00,2.55,16550,United Kingdom,UK
493428,21561,DINOSAUR LUNCHBOX WITH CUTLERY,4,2010-01-04 11:15:00,2.55,16550,United Kingdom,UK
493428,21622,VINTAGE UNION JACK CUSHION COVER,6,2010-01-04 11:15:00,4.95,16550,United Kingdom,UK
493428,21658,GLASS  BEURRE DISH,2,2010-01-04 11:15:00,3.95,16550,United Kingdom,UK
493428,21843,RETRO SPOT CAKE STAND,1,2010-01-04 11:15:00,10.95,16550,United Kingdom,UK
493428,22083,PAPER CHAIN KIT RETRO SPOT,6,2010-01-04 11:15:00,2.95,16550,United Kingdom,UK
493428,22084,PAPER CHAIN KIT EMPIRE,4,2010-01-04 11:15:00,2.95,16550,United Kingdom,UK
493428,22190,LOCAL CAFE MUG,4,2010-01-04 11:15:00,2.1,16550,United Kingdom,UK
493428,22197,"POPCORN HOLDER , SMALL",6,2010-01-04 11:15:00,0.85,16550,United Kingdom,UK
493428,22198,"POPCORN HOLDER , LARGE",6,2010-01-04 11:15:00,1.65,16550,United Kingdom,UK
493428,22347,PIZZA SLICE DISH,6,2010-01-04 11:15:00,1.25,16550,United Kingdom,UK
493428,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,4,2010-01-04 11:15:00,2.55,16550,United Kingdom,UK
493428,79320,FLAMINGO LIGHTS,2,2010-01-04 11:15:00,4.95,16550,United Kingdom,UK
493428,79321,CHILLI LIGHTS,2,2010-01-04 11:15:00,4.95,16550,United Kingdom,UK
493428,84562A,PINK/WHITE RIBBED MELAMINE JUG,1,2010-01-04 11:15:00,7.95,16550,United Kingdom,UK
493428,84563A,PINK & WHITE BREAKFAST TRAY,1,2010-01-04 11:15:00,5.95,16550,United Kingdom,UK
493428,84988,SET OF 72 PINK HEART PAPER DOILIES,10,2010-01-04 11:15:00,1.45,16550,United Kingdom,UK
493432,20681,PINK SPOTTY CHILDS UMBRELLA,2,2010-01-04 12:30:00,3.25,14680,United Kingdom,UK
493432,20682,RED SPOTTY CHILDS UMBRELLA,2,2010-01-04 12:30:00,3.25,14680,United Kingdom,UK
493432,20718,RED SPOTTY SHOPPER BAG,2,2010-01-04 12:30:00,1.25,14680,United Kingdom,UK
493432,20725,LUNCH BAG RED SPOTTY,10,2010-01-04 12:30:00,1.65,14680,United Kingdom,UK
493432,20726,LUNCH BAG WOODLAND,20,2010-01-04 12:30:00,1.65,14680,United Kingdom,UK
493432,20914,SET/5 RED SPOTTY LID GLASS BOWLS,1,2010-01-04 12:30:00,2.95,14680,United Kingdom,UK
493432,21156,RED SPOTTY CHILDS APRON,2,2010-01-04 12:30:00,1.95,14680,United Kingdom,UK
493432,21175,GIN + TONIC DIET METAL SIGN,2,2010-01-04 12:30:00,2.1,14680,United Kingdom,UK
493432,21217,RED SPOTTY ROUND CAKE TINS,2,2010-01-04 12:30:00,9.95,14680,United Kingdom,UK
493432,21218,RED SPOTTY BISCUIT TIN,1,2010-01-04 12:30:00,3.75,14680,United Kingdom,UK
493432,21231,SWEETHEART CERAMIC TRINKET BOX,4,2010-01-04 12:30:00,1.25,14680,United Kingdom,UK
493432,21232,STRAWBERRY CERAMIC TRINKET BOX,7,2010-01-04 12:30:00,1.25,14680,United Kingdom,UK
493432,21327,SKULLS WRITING SET,1,2010-01-04 12:30:00,1.65,14680,United Kingdom,UK
493432,21329,DINOSAURS  WRITING SET,1,2010-01-04 12:30:00,1.65,14680,United Kingdom,UK
493432,21357,TOAST ITS - DINOSAUR,5,2010-01-04 12:30:00,1.25,14680,United Kingdom,UK
493432,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,2010-01-04 12:30:00,3.95,14680,United Kingdom,UK
493432,21523,FANCY FONT HOME SWEET HOME DOORMAT,1,2010-01-04 12:30:00,6.75,14680,United Kingdom,UK
493432,21527,RETRO SPOT TRADITIONAL TEAPOT,5,2010-01-04 12:30:00,7.95,14680,United Kingdom,UK
493432,21531,RETRO SPOT SUGAR JAM BOWL,2,2010-01-04 12:30:00,2.55,14680,United Kingdom,UK
493432,21533,RETRO SPOT LARGE MILK JUG,1,2010-01-04 12:30:00,4.95,14680,United Kingdom,UK
493432,21535,RETRO SPOT SMALL MILK JUG,2,2010-01-04 12:30:00,2.55,14680,United Kingdom,UK
493432,21537,RETRO SPOTS PUDDING BOWL,1,2010-01-04 12:30:00,4.25,14680,United Kingdom,UK
493432,21556,CERAMIC STRAWBERRY MONEY BOX,3,2010-01-04 12:30:00,2.55,14680,United Kingdom,UK
493432,21558,SKULL LUNCHBOX WITH CUTLERY,1,2010-01-04 12:30:00,2.55,14680,United Kingdom,UK
493432,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,2,2010-01-04 12:30:00,2.55,14680,United Kingdom,UK
493432,21733,RED HANGING HEART T-LIGHT HOLDER,8,2010-01-04 12:30:00,2.95,14680,United Kingdom,UK
493432,21844,RETRO SPOT MUG,2,2010-01-04 12:30:00,2.95,14680,United Kingdom,UK
493432,21870,I CAN ONLY PLEASE ONE PERSON MUG,2,2010-01-04 12:30:00,1.25,14680,United Kingdom,UK
493432,21872,GLAMOROUS  MUG,2,2010-01-04 12:30:00,1.25,14680,United Kingdom,UK
493432,21874,GIN AND TONIC MUG,2,2010-01-04 12:30:00,1.25,14680,United Kingdom,UK
493432,21903,MAN FLU METAL SIGN,2,2010-01-04 12:30:00,2.1,14680,United Kingdom,UK
493432,22072,TEA CUP AND SAUCER RETRO SPOT,2,2010-01-04 12:30:00,3.75,14680,United Kingdom,UK
493432,22073,RETRO SPOT STORAGE JAR,1,2010-01-04 12:30:00,3.75,14680,United Kingdom,UK
493432,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,2,2010-01-04 12:30:00,2.55,14680,United Kingdom,UK
493432,22415,WHITE TISSUE REAM,1,2010-01-04 12:30:00,7.95,14680,United Kingdom,UK
493432,37448,CERAMIC CAKE DESIGN SPOTTED MUG,2,2010-01-04 12:30:00,1.49,14680,United Kingdom,UK
493432,37461,FUNKY MONKEY MUG,2,2010-01-04 12:30:00,1.25,14680,United Kingdom,UK
493432,37503,TEA TIME CAKE STAND IN GIFT BOX,2,2010-01-04 12:30:00,10.75,14680,United Kingdom,UK
493432,47591D,PINK FAIRY CAKE CHILD'S APRON,1,2010-01-04 12:30:00,1.95,14680,United Kingdom,UK
493432,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,2010-01-04 12:30:00,3.75,14680,United Kingdom,UK
493432,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,2,2010-01-04 12:30:00,2.95,14680,United Kingdom,UK
493432,84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,3,2010-01-04 12:30:00,3.75,14680,United Kingdom,UK
493432,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,4,2010-01-04 12:30:00,3.75,14680,United Kingdom,UK
493432,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,4,2010-01-04 12:30:00,3.75,14680,United Kingdom,UK
493432,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,1,2010-01-04 12:30:00,3.75,14680,United Kingdom,UK
493432,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-01-04 12:30:00,2.55,14680,United Kingdom,UK
493432,85132B,CHARLIE AND LOLA TABLE TINS,2,2010-01-04 12:30:00,9.95,14680,United Kingdom,UK
493432,85150,LADIES & GENTLEMEN METAL SIGN,1,2010-01-04 12:30:00,2.55,14680,United Kingdom,UK
493432,85152,HAND OVER THE CHOCOLATE   SIGN,6,2010-01-04 12:30:00,2.1,14680,United Kingdom,UK
493433,15060B,FAIRY CAKE DESIGN UMBRELLA,4,2010-01-04 12:51:00,3.75,14709,United Kingdom,UK
493433,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2010-01-04 12:51:00,1.25,14709,United Kingdom,UK
493433,21843,RETRO SPOT CAKE STAND,2,2010-01-04 12:51:00,10.95,14709,United Kingdom,UK
493433,21928,JUMBO BAG SCANDINAVIAN PAISLEY,20,2010-01-04 12:51:00,1.95,14709,United Kingdom,UK
493433,21929,JUMBO BAG PINK VINTAGE PAISLEY,30,2010-01-04 12:51:00,1.95,14709,United Kingdom,UK
493433,37502,TEA TIME MUG IN GIFT BOX,6,2010-01-04 12:51:00,2.95,14709,United Kingdom,UK
493433,37503,TEA TIME CAKE STAND IN GIFT BOX,6,2010-01-04 12:51:00,10.75,14709,United Kingdom,UK
493433,48111,DOOR MAT 3 SMILEY CATS,2,2010-01-04 12:51:00,6.75,14709,United Kingdom,UK
493433,48185,DOOR MAT FAIRY CAKE,4,2010-01-04 12:51:00,6.75,14709,United Kingdom,UK
493433,48188,DOOR MAT WELCOME PUPPIES,2,2010-01-04 12:51:00,6.75,14709,United Kingdom,UK
493433,48194,DOORMAT HEARTS,2,2010-01-04 12:51:00,6.75,14709,United Kingdom,UK
493433,84991,60 TEATIME FAIRY CAKE CASES,24,2010-01-04 12:51:00,0.55,14709,United Kingdom,UK
493433,85099B,JUMBO BAG RED WHITE SPOTTY,20,2010-01-04 12:51:00,1.95,14709,United Kingdom,UK
493433,85099C,JUMBO  BAG BAROQUE BLACK WHITE,20,2010-01-04 12:51:00,1.95,14709,United Kingdom,UK
493434,21080,SET/20 RED SPOTTY PAPER NAPKINS,96,2010-01-04 12:54:00,0.64,13798,United Kingdom,UK
493434,21181,PLEASE ONE PERSON  METAL SIGN,48,2010-01-04 12:54:00,1.85,13798,United Kingdom,UK
493434,21355,TOAST ITS - I LOVE YOU,288,2010-01-04 12:54:00,1.05,13798,United Kingdom,UK
493434,21843,RETRO SPOT CAKE STAND,24,2010-01-04 12:54:00,9.95,13798,United Kingdom,UK
493434,22064,PINK DOUGHNUT TRINKET POT,48,2010-01-04 12:54:00,1.45,13798,United Kingdom,UK
493434,37450,CERAMIC CAKE BOWL + HANGING CAKES,18,2010-01-04 12:54:00,2.55,13798,United Kingdom,UK
493434,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,96,2010-01-04 12:54:00,0.64,13798,United Kingdom,UK
493434,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,72,2010-01-04 12:54:00,1.06,13798,United Kingdom,UK
493434,84596F,SMALL MARSHMALLOWS PINK BOWL,72,2010-01-04 12:54:00,1.06,13798,United Kingdom,UK
493435,10120,DOGGY RUBBER,30,2010-01-04 12:57:00,0.21,13206,United Kingdom,UK
493435,15036,ASSORTED COLOURS SILK FAN,12,2010-01-04 12:57:00,0.65,13206,United Kingdom,UK
493435,16207A,PINK STRAWBERRY HANDBAG,3,2010-01-04 12:57:00,2.95,13206,United Kingdom,UK
493435,16237,SLEEPING CAT ERASERS,30,2010-01-04 12:57:00,0.21,13206,United Kingdom,UK
493435,17039,INLAID WOOD INCENSE HOLDER,10,2010-01-04 12:57:00,0.29,13206,United Kingdom,UK
493435,20675,BLUE SPOTTY BOWL,5,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,20712,JUMBO BAG WOODLAND ANIMALS,8,2010-01-04 12:57:00,1.95,13206,United Kingdom,UK
493435,20727,LUNCH BAG  BLACK SKULL.,5,2010-01-04 12:57:00,1.65,13206,United Kingdom,UK
493435,20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,1,2010-01-04 12:57:00,2.95,13206,United Kingdom,UK
493435,21026,SPACE OWL,10,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,21082,SET/20 FRUIT SALAD PAPER NAPKINS,6,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,21440,12 MINI TOADSTOOL PEGS,24,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,21472,LADYBIRD + BEE RAFFIA FOOD COVER,3,2010-01-04 12:57:00,3.75,13206,United Kingdom,UK
493435,21488,RED WHITE SCARF  HOT WATER BOTTLE,24,2010-01-04 12:57:00,3.45,13206,United Kingdom,UK
493435,21495,SKULLS WRAP,25,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,21498,RED SPOTS  WRAP,25,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,21504,SKULLS GREETING CARD,12,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,21507,"ELEPHANT, BIRTHDAY CARD,",12,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,21509,COWBOYS AND INDIANS BIRTHDAY CARD,12,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,21544,SKULLS  WATER TRANSFER TATTOOS,10,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,21675,BUTTERFLIES STICKERS,6,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,21678,PAISLEY PATTERN  STICKERS,2,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,21679,SKULLS  STICKERS,23,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,21714,CITRONELLA CANDLE GARDEN POT,6,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,21788,KIDS RAIN MAC BLUE,6,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,21789,KIDS RAIN MAC PINK,4,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,21836,GINGHAM OVEN GLOVE RED HEART,4,2010-01-04 12:57:00,3.75,13206,United Kingdom,UK
493435,21929,JUMBO BAG PINK VINTAGE PAISLEY,11,2010-01-04 12:57:00,1.95,13206,United Kingdom,UK
493435,21987,PACK OF 6 SKULL PAPER CUPS,7,2010-01-04 12:57:00,0.65,13206,United Kingdom,UK
493435,21988,PACK OF 6 SKULL PAPER PLATES,4,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,21989,PACK OF 20 SKULL PAPER NAPKINS,6,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,22025,RING OF ROSES BIRTHDAY CARD,12,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,22028,PENNY FARTHING BIRTHDAY CARD,12,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,22033,BOTANICAL ROSE GREETING CARD,12,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,22036,DINOSAUR BIRTHDAY CARD,12,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,22040,BOTANICAL ROSE GIFT WRAP,25,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,22100,SKULLS SQUARE TISSUE BOX,6,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,22132,RED LOVE HEART SHAPE CUP,12,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,22133,PINK LOVE HEART SHAPE CUP,12,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,22136,LOVE HEART SOCK HANGER,6,2010-01-04 12:57:00,1.65,13206,United Kingdom,UK
493435,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,2010-01-04 12:57:00,0.65,13206,United Kingdom,UK
493435,22332,SKULLS PARTY BAG + STICKER SET,6,2010-01-04 12:57:00,1.65,13206,United Kingdom,UK
493435,22352,LUNCHBOX WITH CUTLERY RETROSPOT,6,2010-01-04 12:57:00,2.55,13206,United Kingdom,UK
493435,37112,YELLOW BIRDS FELT DES FOODCOVER,2,2010-01-04 12:57:00,3.75,13206,United Kingdom,UK
493435,40016,CHINESE DRAGON PAPER LANTERNS,12,2010-01-04 12:57:00,0.42,13206,United Kingdom,UK
493435,40046A,RED DAISY PAPER LAMPSHADE,7,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,51008,AFGHAN SLIPPER SOCK PAIR,10,2010-01-04 12:57:00,3.45,13206,United Kingdom,UK
493435,72038P,PRICE'S CANDLE PEACH,200,2010-01-04 12:57:00,0.08,13206,United Kingdom,UK
493435,72232,FENG SHUI PILLAR CANDLE,24,2010-01-04 12:57:00,0.19,13206,United Kingdom,UK
493435,72484,ROSES IN WHITE HEART CANDLE,48,2010-01-04 12:57:00,0.38,13206,United Kingdom,UK
493435,72800D,S/4 BLUE DINNER CANDLE SILVER FLOCK,12,2010-01-04 12:57:00,0.79,13206,United Kingdom,UK
493435,84007,MAGIC GARDEN MOUNT FUJI,6,2010-01-04 12:57:00,2.55,13206,United Kingdom,UK
493435,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,24,2010-01-04 12:57:00,1.95,13206,United Kingdom,UK
493435,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,24,2010-01-04 12:57:00,1.95,13206,United Kingdom,UK
493435,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,36,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,84288B,SET/2 BLUE  NOODLE BASKETS,4,2010-01-04 12:57:00,1.95,13206,United Kingdom,UK
493435,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,4,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,84558A,3D DOG PICTURE PLAYING CARDS,6,2010-01-04 12:57:00,2.95,13206,United Kingdom,UK
493435,84559A,3D SHEET OF DOG STICKERS,8,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,84578,ELEPHANT TOY WITH BLUE T-SHIRT,4,2010-01-04 12:57:00,3.75,13206,United Kingdom,UK
493435,84596E,SMALL LICORICE DES PINK BOWL,6,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-01-04 12:57:00,0.55,13206,United Kingdom,UK
493435,85049B,LUSH GREENS RIBBONS,8,2010-01-04 12:57:00,1.25,13206,United Kingdom,UK
493435,85231B,CINAMMON SET OF 9 T-LIGHTS,6,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493435,85231L,LAVENDER SCENTED SET/9 T-LIGHTS,6,2010-01-04 12:57:00,0.85,13206,United Kingdom,UK
493436,20868,SILVER FABRIC MIRROR,240,2010-01-04 13:03:00,0.38,13694,United Kingdom,UK
493436,20869,GOLD FABRIC MIRROR,240,2010-01-04 13:03:00,0.38,13694,United Kingdom,UK
493436,35004G,SET OF 3 GOLD FLYING DUCKS,12,2010-01-04 13:03:00,1.95,13694,United Kingdom,UK
493436,35004P,SET OF 3 PINK FLYING DUCKS,12,2010-01-04 13:03:00,1.95,13694,United Kingdom,UK
493436,46776A,WOVEN BUBBLE GUM CUSHION COVER,24,2010-01-04 13:03:00,1.25,13694,United Kingdom,UK
493436,46776B,WOVEN BERRIES CUSHION COVER,24,2010-01-04 13:03:00,1.25,13694,United Kingdom,UK
493436,46776C,WOVEN FROST CUSHION COVER,12,2010-01-04 13:03:00,1.25,13694,United Kingdom,UK
493436,46776E,WOVEN CANDY CUSHION COVER,12,2010-01-04 13:03:00,1.25,13694,United Kingdom,UK
493436,46776F,WOVEN ROSE GARDEN CUSHION COVER,12,2010-01-04 13:03:00,1.25,13694,United Kingdom,UK
493436,72799A,BLACK PILLAR CANDLE SILVER FLOCK,240,2010-01-04 13:03:00,1.25,13694,United Kingdom,UK
493436,72799C,PINK PILLAR CANDLE SILVER FLOCK,240,2010-01-04 13:03:00,1.25,13694,United Kingdom,UK
493436,72799E,IVORY PILLAR CANDLE SILVER FLOCK,240,2010-01-04 13:03:00,1.25,13694,United Kingdom,UK
493436,72799F,IVORY PILLAR CANDLE GOLD FLOCK,480,2010-01-04 13:03:00,1.25,13694,United Kingdom,UK
493436,72800A,S/4 BLACK DINNER CANDLE SILVER FLOC,252,2010-01-04 13:03:00,0.79,13694,United Kingdom,UK
493436,72800B,S/4 PURPLE DINNER CANDLE BLK FLOCK,252,2010-01-04 13:03:00,0.79,13694,United Kingdom,UK
493436,72800C,S/4 PINK DINNER CANDLE SILVER FLOCK,252,2010-01-04 13:03:00,0.79,13694,United Kingdom,UK
493436,72800D,S/4 BLUE DINNER CANDLE SILVER FLOCK,252,2010-01-04 13:03:00,0.79,13694,United Kingdom,UK
493436,72800F,4 IVORY DINNER CANDLES GOLD FLOCK,468,2010-01-04 13:03:00,0.79,13694,United Kingdom,UK
493437,85132A,CHARLIE + LOLA BISCUITS TINS,96,2010-01-04 13:10:00,3.95,13694,United Kingdom,UK
493437,85132B,CHARLIE AND LOLA TABLE TINS,96,2010-01-04 13:10:00,3.95,13694,United Kingdom,UK
493438,20700,GREEN CAT FLORAL CUSHION COVER,144,2010-01-04 13:12:00,1.25,13694,United Kingdom,UK
493438,20701,PINK CAT FLORAL CUSHION COVER,144,2010-01-04 13:12:00,1.25,13694,United Kingdom,UK
493439,47347B,BLUE FLOWER T-LIGHT HOLDER,144,2010-01-04 13:25:00,0.38,13694,United Kingdom,UK
493439,71028B,SILVER BLUE EGG T-LIGHT HOLDER,96,2010-01-04 13:25:00,0.38,13694,United Kingdom,UK
493439,78124,MAGAZINE RACK GEBRA ASSORTED,144,2010-01-04 13:25:00,1.25,13694,United Kingdom,UK
493439,79328,BLUE FLOCK GLASS CANDLEHOLDER,96,2010-01-04 13:25:00,0.38,13694,United Kingdom,UK
493439,79336,LIGHT PINK FLOCK GLASS CANDLEHOLDER,96,2010-01-04 13:25:00,0.38,13694,United Kingdom,UK
493439,79337,BLUE FLOCK GLASS CANDLEHOLDER,96,2010-01-04 13:25:00,0.38,13694,United Kingdom,UK
493439,79338,DARK PINK FLOCK GLASS CANDLEHOLDER,96,2010-01-04 13:25:00,0.38,13694,United Kingdom,UK
493439,82076,BEECH WOOD PHOTO FRAME,64,2010-01-04 13:25:00,1.25,13694,United Kingdom,UK
493439,85166B,BLACK METAL BAROQUE PHOTO FRAME,120,2010-01-04 13:25:00,1.25,13694,United Kingdom,UK
493439,85167A,WHITE GRAND BAROQUE PHOTO FRAME,60,2010-01-04 13:25:00,1.25,13694,United Kingdom,UK
493439,85167B,BLACK GRAND BAROQUE PHOTO FRAME,120,2010-01-04 13:25:00,1.25,13694,United Kingdom,UK
493439,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,288,2010-01-04 13:25:00,1.25,13694,United Kingdom,UK
493439,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,288,2010-01-04 13:25:00,1.25,13694,United Kingdom,UK
493439,85221,ASSORTED COLOUR SILK COIN PURSE,480,2010-01-04 13:25:00,0.38,13694,United Kingdom,UK
493439,85222,ASSORTED COLOUR SILK COSMETIC PURSE,240,2010-01-04 13:25:00,0.65,13694,United Kingdom,UK
493439,85224,ASSORTED COLOUR SILK GLASSES CASE,240,2010-01-04 13:25:00,0.38,13694,United Kingdom,UK
493442,20712,JUMBO BAG WOODLAND ANIMALS,1,2010-01-04 13:36:00,1.95,13821,United Kingdom,UK
493442,20713,JUMBO BAG OWLS,2,2010-01-04 13:36:00,1.95,13821,United Kingdom,UK
493442,20751,FUNKY WASHING UP GLOVES ASSORTED,1,2010-01-04 13:36:00,2.1,13821,United Kingdom,UK
493442,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,2,2010-01-04 13:36:00,2.1,13821,United Kingdom,UK
493442,20754,RETRO RED SPOTTY WASHING UP GLOVES,2,2010-01-04 13:36:00,2.1,13821,United Kingdom,UK
493442,20960,WATERMELON BATH SPONGE,4,2010-01-04 13:36:00,1.25,13821,United Kingdom,UK
493442,20963,APPLE BATH SPONGE,2,2010-01-04 13:36:00,1.25,13821,United Kingdom,UK
493442,20966,SANDWICH BATH SPONGE,2,2010-01-04 13:36:00,1.25,13821,United Kingdom,UK
